,Property Address,Property City,Sale Price,Latitude,Longitude,Restaurants,Supermarkets,Liquor Store,Schools,Churches,Convenience_Store,Drugstore,Fire_Station,Hospital,Bar
1004,3505  HEWLETT  DR,NASHVILLE,$270.0k,36.0965009,-86.7321876,,,,,,20,11,5,20,20
1005,2972  HARBOR LIGHTS  DR,NASHVILLE,$275.0k,36.0963581,-86.6304034,,,,,,20,8,2,4,15
1006,3030  NED SHELTON  RD,NASHVILLE,$271.7k,36.0962236,-86.6329825,,,,,,20,8,2,3,18
1007,3030  NED SHELTON  RD,NASHVILLE,$236.5k,36.0962236,-86.6329825,,,,,,20,8,2,3,18
1008,4404   FARRISWOOD  DR,NASHVILLE,$1595.0k,36.0956927,-86.7983175,,,,,,20,7,6,20,20
1009,100  GLENDOWER  CT,NASHVILLE,$900.0k,36.0955857,-86.800672,,,,,,20,7,6,20,20
1010,425  SUMMIT RIDGE  PL,NASHVILLE,$182.0k,36.0952899,-86.8268302,,,,,,20,5,5,20,20
1011,3001  HARBOR LIGHTS  DR,NASHVILLE,$356.0k,36.0952788,-86.6310531,,,,,,20,8,2,4,15
1012,3337  TINNEY  PL,NASHVILLE,$355.0k,36.0950899,-86.6303962,,,,,,20,8,2,4,14
1013,416  SUMMIT RIDGE  PL,NASHVILLE,$195.0k,36.0950338,-86.8269817,,,,,,20,5,5,20,20
1014,410  SUMMIT RIDGE  PL,NASHVILLE,$173.0k,36.094747,-86.8271621,,,,,,20,5,5,20,20
1015,4501  GRANNY WHITE  PIKE,NASHVILLE,$2175.0k,36.0943248,-86.8019081,,,,,,20,7,6,20,20
1016,613  LONGHUNTER  CT,NASHVILLE,$179.0k,36.0942681,-86.6388885,,,,,,20,10,2,3,20
1017,8250  CHARLOTTE  PIKE,NASHVILLE,$175.0k,36.094037,-86.97578,,,,,,16,1,3,4,6
1018,1221  LONE OAK  RD,NASHVILLE,$763.0k,36.0937224,-86.8055769,,,,,,20,7,8,20,20
1019,318  SUMMIT RIDGE  CIR,NASHVILLE,$215.0k,36.093666,-86.82789,,,,,,20,5,5,20,20
1020,320  SUMMIT RIDGE  CIR,NASHVILLE,$166.8k,36.093666,-86.82789,,,,,,20,5,5,20,20
1021,324  SUMMIT RIDGE  CIR,NASHVILLE,$173.0k,36.093525,-86.827919,,,,,,20,5,5,20,20
1022,130  TAGGART  AVE,NASHVILLE,$3200.0k,36.093518,-86.8703926,,,,,,18,3,2,20,18
1023,3752  PRIEST LAKE  DR,NASHVILLE,$399.8k,36.0932488,-86.6104428,,,,,,20,8,3,3,13
1024,7540   HALLOWS  DR,NASHVILLE,$910.4k,36.0932125,-86.9502999,,,,,,20,4,3,6,9
1025,2436  NASHBORO  BLVD,NASHVILLE,$305.6k,36.0931677,-86.6332877,,,,,,20,8,2,4,14
1026,4412  ESTES  RD,NASHVILLE,$899.9k,36.093129,-86.8392609,,,,,,19,5,4,20,20
1027,3721  HEWLETT  DR,NASHVILLE,$329.0k,36.0931165,-86.7293975,,,,,,20,13,4,20,20
1028,3721  HEWLETT  DR,NASHVILLE,$300.0k,36.0931165,-86.7293975,,,,,,20,13,4,20,20
1029,115  BROOKFIELD  AVE,NASHVILLE,$1180.0k,36.0928932,-86.8743062,,,,,,20,5,2,20,8
1030,2612  NASHBORO  BLVD,NASHVILLE,$255.0k,36.0928292,-86.6340752,,,,,,20,8,2,4,16
1031,8366  HIGHWAY 70,NASHVILLE,$483.0k,36.092462,-86.9851458,,,,,,11,1,2,4,6
1032,4422  FORSYTHE  PL,NASHVILLE,$2600.0k,36.0919631,-86.8563232,,,,,,19,5,4,20,20
1033,168  CARNAVON  PKWY,NASHVILLE,$1250.0k,36.0918084,-86.9010253,,,,,,20,6,2,8,15
1034,2843  LAKE FOREST  DR,NASHVILLE,$182.0k,36.0907908,-86.6117151,,,,,,20,8,3,3,13
1035,415  W TYNE  DR,NASHVILLE,$8000.0k,36.0906097,-86.8637895,,,,,,16,4,2,20,20
1036,2104  NASHBORO  BLVD,NASHVILLE,$275.0k,36.0902153,-86.628966,,,,,,20,9,2,4,16
1037,4424   SCENIC  DR,NASHVILLE,$2150.0k,36.0899497,-86.795464,,,,,,20,7,6,20,20
1038,227  BRATTLESBORO  PL,NASHVILLE,$345.0k,36.089866,-86.789849,,,,,,20,8,7,20,20
1039,2001  NASHBORO  BLVD,NASHVILLE,$176.5k,36.0894133,-86.6314689,,,,,,20,9,2,4,15
1040,2087  NASHBORO  BLVD,NASHVILLE,$240.0k,36.0893543,-86.6293983,,,,,,20,9,3,4,15
1041,2083  NASHBORO  BLVD,NASHVILLE,$241.5k,36.0891781,-86.629793,,,,,,20,9,3,4,15
1042,2083 G NASHBORO  BLVD,NASHVILLE,$241.5k,36.0891623,-86.6296482,,,,,,20,9,3,4,15
1043,1331   NASHBORO  BLVD,NASHVILLE,$219.0k,36.0889155,-86.6364335,,,,,,20,11,2,6,20
1044,1329   NASHBORO  BLVD,NASHVILLE,$219.0k,36.0889155,-86.6364335,,,,,,20,11,2,6,20
1045,1327   NASHBORO  BLVD,NASHVILLE,$219.0k,36.0889155,-86.6364335,,,,,,20,11,2,6,20
